Символ;Вес Q1;Вес Q2;Вес Q3;Вес Q4;Уд.вес Q1;Уд.вес Q2;Уд.вес Q3;Уд.вес Q4;Центр X;Центр Y;Норм.центр X;Норм.центр Y;Момент X;Момент Y;Норм.момент X;Норм.момент Y;Ширина;Высота
А;244;0;0;0;0.04337777777006617;0.0;0.0;0.0;38.11065573770492;52.23360655737705;0.2540710365575592;0.3482240413943534;23767.68442622951;12184.012295081968;0.004329268565796936;0.002219310071963524;150;150
Б;314;0;0;0;0.05582222221229827;0.0;0.0;0.0;35.5828025477707;50.30573248407644;0.23721868207034677;0.3353715476580326;38506.64968152867;19886.34713375796;0.005450339657681984;0.002814769587226489;150;150
В;352;0;0;0;0.06257777776665284;0.0;0.0;0.0;36.71875;49.39772727272727;0.24479166503472224;0.3293181796227273;39160.31818181818;21753.15625;0.004944484618915812;0.0027466106376259156;150;150
Г;211;0;0;0;0.03751111110444247;0.0;0.0;0.0;32.464454976303315;47.208530805687204;0.21642969839915746;0.31472353660642444;29664.824644549764;13800.483412322275;0.006248514933026543;0.002906894873579646;150;150
Д;318;0;4;0;0.05653333332328296;0.0;0.0007111111109846913;0.0;39.34782608695652;52.11180124223603;0.2623188388309179;0.3474120059654935;55825.97515527949;31169.043478260868;0.007705448606662772;0.004302145407626855;150;150
Е;273;0;0;0;0.048533333324705184;0.0;0.0;0.0;34.24908424908425;49.86446886446886;0.2283272268050468;0.3324297902135938;37103.98534798535;15837.062271062268;0.006040534855185886;0.0025782763160048334;150;150
Ё;309;0;0;0;0.0549333333235674;0.0;0.0;0.0;35.35275080906149;47.14239482200647;0.23568500382250993;0.3142826300514923;54507.73462783172;19482.5501618123;0.007840019363944463;0.002802236628811147;150;150
Ж;506;0;0;0;0.08995555553956346;0.0;0.0;0.0;44.312252964426875;49.58102766798419;0.2954150177934124;0.3305401822496267;65573.17786561264;75722.66403162054;0.005759611582398496;0.006651090384858489;150;150
З;244;0;0;0;0.04337777777006617;0.0;0.0;0.0;36.704918032786885;49.09016393442623;0.2446994519205829;0.3272677573810565;32034.01639344263;6860.754098360656;0.005834975663649689;0.0012496819851292179;150;150
И;413;0;0;0;0.07342222220916937;0.0;0.0;0.0;39.84503631961259;49.0;0.26563357369319346;0.3266666644888889;50254.0;46518.0823244552;0.005408017218186127;0.005005981417750895;150;150
Й;466;0;0;0;0.08284444442971654;0.0;0.0;0.0;40.637339055793994;46.28111587982833;0.27091559189918935;0.30854077047525036;77270.17381974249;50293.710300429186;0.007369592162111122;0.004796729642386684;150;150
К;339;0;0;0;0.06026666665595259;0.0;0.0;0.0;36.474926253687315;49.259587020648965;0.24316617340347427;0.32839724461501146;43889.15634218289;26022.536873156343;0.005754068350334597;0.0034116731397119543;150;150
Л;290;0;0;0;0.051555555546390124;0.0;0.0;0.0;41.30689655172414;49.717241379310344;0.2753793085089655;0.3314482736524138;40514.81379310344;28891.68620689655;0.006209166864842488;0.0044278446294087545;150;150
М;461;0;0;0;0.08195555554098567;0.0;0.0;0.0;43.68112798264642;49.329718004338396;0.29120751794292604;0.3288647845031574;49781.882863340565;65732.12581344902;0.004799410254358714;0.006337153609394329;150;150
Н;407;0;0;0;0.07235555554269234;0.0;0.0;0.0;39.85995085995086;48.86732186732187;0.26573300396145233;0.32578214361026486;48054.835380835386;45021.0171990172;0.005247593271179922;0.004916299994432136;150;150
О;348;0;0;0;0.061866666655668145;0.0;0.0;0.0;39.672413793103445;49.1867816091954;0.26448275685747125;0.32791187520855686;35822.8591954023;48010.65517241379;0.004575077802732787;0.006131629013078883;150;150
П;397;0;0;0;0.07057777776523061;0.0;0.0;0.0;40.015113350125944;48.231738035264485;0.2667674205557235;0.3215449180914638;53644.68010075568;44945.90931989925;0.006005561724125348;0.005031727883559386;150;150
Р;275;0;0;0;0.04888888888019753;0.0;0.0;0.0;35.16;46.68;0.23439999843733333;0.31119999792533337;29923.839999999997;20656.96;0.004836176161615379;0.003338498585858046;150;150
С;225;0;0;0;0.039999999992888884;0.0;0.0;0.0;33.85333333333333;48.24;0.2256888873842963;0.321599997856;29761.04;20842.160000000003;0.005878723950616123;0.0041169698765423975;150;150
Т;229;0;0;0;0.04071111110387358;0.0;0.0;0.0;35.8471615720524;46.5938864628821;0.23898107555380885;0.31062590768170795;31929.231441048036;9447.650655021835;0.00619684258923665;0.0018336051732207668;150;150
У;262;0;0;0;0.04657777776949728;0.0;0.0;0.0;37.91984732824427;47.33587786259542;0.2527989805029686;0.31557251698015265;31986.442748091606;16915.31679389313;0.005426029304170683;0.00286943457063448;150;150
Ф;430;0;0;0;0.07644444443085431;0.0;0.0;0.0;41.872093023255815;49.01627906976744;0.27914728496072355;0.32677519161994834;36550.88604651163;45943.96511627907;0.003777869358812181;0.004748730244576157;150;150
Х;290;0;0;0;0.051555555546390124;0.0;0.0;0.0;37.55172413793103;48.93448275862069;0.2503448259172414;0.3262298828826054;39937.75517241379;16855.724137931033;0.006120728762054815;0.002583252741444973;150;150
Ц;412;0;3;0;0.07324444443142321;0.0;0.0005333333332385185;0.0;40.47710843373494;50.53734939759036;0.2698473877592504;0.336915660404498;61715.171084337344;47171.53253012049;0.006609389138884148;0.005051837486491613;150;150
Ч;309;0;0;0;0.0549333333235674;0.0;0.0;0.0;42.090614886731395;46.06472491909385;0.28060409737418196;0.30709816407997126;34118.705501618126;23797.462783171522;0.004907401007064109;0.0034228641183988635;150;150
Ш;596;4;0;0;0.10595555553671901;0.0007111111109846913;0.0;0.0;48.02166666666667;49.99666666666667;0.32014444231014816;0.3333111088890371;79805.99333333335;141114.71833333332;0.0059115550617279584;0.010452942098764658;150;150
Щ;619;4;2;0;0.11004444442488098;0.0007111111109846913;0.00035555555549234566;0.0;48.7856;50.8208;0.32523733116508446;0.3388053310746311;89839.9296;149435.27039999998;0.006388617215999546;0.010626508117332576;150;150
Ъ;341;0;0;0;0.060622222211444934;0.0;0.0;0.0;37.87390029325513;50.67448680351906;0.25249266693841643;0.337829909771261;41268.868035190615;17195.57771260997;0.005378803262976245;0.00224119618280974;150;150
Ы;500;0;0;0;0.08888888887308641;0.0;0.0;0.0;43.148;50.894;0.2876533314156445;0.33929333107137777;58435.38200000001;83485.048;0.005194256177777317;0.007420893155554895;150;150
Ь;315;0;0;0;0.055999999990044444;0.0;0.0;0.0;34.32380952380952;52.10793650793651;0.22882539529989418;0.3473862410703351;33316.330158730154;14548.971428571427;0.004700716777245214;0.0020527649281932097;150;150
Э;277;0;0;0;0.04924444443568987;0.0;0.0;0.0;42.17328519855596;48.061371841155236;0.2811552327826715;0.3204091434716406;36547.95667870036;18815.682310469318;0.005864092527668591;0.0030189622640138464;150;150
Ю;586;0;0;0;0.10417777775925728;0.0;0.0;0.0;47.03071672354949;49.15017064846416;0.31353810940007587;0.3276678021386424;66340.78498293516;140919.44709897612;0.005031534697226403;0.010687860985890437;150;150
Я;395;0;0;0;0.07022222220973827;0.0;0.0;0.0;38.86582278481013;49.177215189873415;0.25910548350469764;0.32784809908016876;44813.59493670886;31401.888607594938;0.0050423172924561254;0.0035332645409385547;150;150
